strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
delay_aware_v1,25,4732.0,532,124,0.69,2,1,5.52,0.767,8,5,3
delay_aware_v1,26,5994.7,544,119,0.703,0,2,6.18,0.781,6,6,3
delay_aware_v1,27,4869.6,559,114,0.592,1,3,6.37,0.796,6,4,3
delay_aware_v1,28,4381.1,601,100,0.654,1,0,5.82,0.834,6,6,3
delay_aware_v1,29,4173.5,586,105,0.739,0,0,6.51,0.821,5,5,3
delay_aware_v1,30,3740.6000000000004,623,93,0.625,0,1,6.74,0.851,4,3,2
delay_aware_v1,31,3976.3999999999996,547,118,0.752,0,0,5.82,0.784,7,7,3
delay_aware_v1,32,3663.3,529,124,0.716,0,0,4.99,0.766,7,7,3
delay_aware_v1,33,5805.0,565,112,0.705,0,0,5.61,0.802,7,7,3
delay_aware_v1,34,4832.0,586,105,0.598,0,0,5.81,0.821,4,4,3
delay_aware_v1,35,5122.4,571,110,0.594,0,1,5.22,0.807,6,6,2
delay_aware_v1,36,2816.0,574,109,0.69,0,1,5.14,0.81,7,7,3
delay_aware_v1,37,5705.0,552,117,0.639,0,1,5.54,0.788,7,7,3
delay_aware_v1,38,4754.2,598,101,0.434,0,1,6.09,0.831,2,2,1
delay_aware_v1,39,3783.2,565,112,0.701,0,1,5.32,0.802,8,7,3
delay_aware_v1,40,5609.4,610,97,0.604,0,1,6.85,0.841,5,4,2
delay_aware_v1,41,3584.8,580,107,0.592,0,4,6.46,0.816,8,6,3
delay_aware_v1,42,3290.6000000000004,562,114,0.717,1,0,5.54,0.797,8,7,3
delay_aware_v1,43,4760.8,601,100,0.731,1,0,5.59,0.834,4,3,2
delay_aware_v1,44,4590.8,583,106,0.678,0,0,6.3,0.818,5,5,3
delay_aware_v1,45,3917.8,580,107,0.617,0,1,6.39,0.816,7,7,3
delay_aware_v1,46,3896.4,559,114,0.79,0,1,5.02,0.796,5,5,3
delay_aware_v1,47,5570.700000000001,554,116,0.696,0,0,5.43,0.791,4,3,3
delay_aware_v1,48,3826.6000000000004,601,100,0.606,0,1,6.23,0.834,5,5,3
delay_aware_v1,49,3287.1,569,111,0.742,0,2,5.54,0.805,8,8,3
